cidade,bairro,endereco
Americana,Centro,"Rua Trinta de Julho , 477"
Araraquara,Centro,"Avenida Padre Francisco Sales Colturato , 1600"
Araraquara,Vila Sedenho,"Rua Maurício Galli , 555"
Araraquara,Via Expressa,"Avenida Maria Antonia Camargo de Oliveira , 1030"
Araras,Vila Michelin,"Avenida Dona Renata , 3605"
Barretos,Jardim América,"Avenida Engenheiro Necker Carvalho de Camargo , 2303"
Bebedouro,Jardim do Sonho,"Avenida Quito Stamato , 555"
Campinas,Botafogo,"Rua Mário Siqueira , 221"
Campinas,Conj. Hab. Pe. Anchieta,"Rua Dom Aloisio Lorscheider , 225"
Campinas,Jardim do Lago,"Avenida das Amoreiras , 3033"
Campinas,Parque Taquaral,"Avenida Padre Almeida Garret , 1112"
Campinas,Vila Joaquim Inácio,"Avenida Jorge Tibiriçá , 139"
Campinas,Vila São Jorge,"Avenida General Carneiro , 434"
Franca,Parque do Castelo,"Av. Paulo Roberto Cavalheiro Coelho , 1911"
Franca,Jardim Integracao,"Avenida José da Silva , 3913"
Franca,Jardim Pulicano,"Avenida Nelson Nogueira , 2211"
Franca,Vila Aparecida,"Avenida Brasil , 1281"
Hortolândia,Vila São Francisco,"Rua Luiz Camilo de Camargo , 322"
Jaboticabal,Centro,"Rua Floriano Peixoto , 55"
Jardinópolis,Centro,"Avenida Belarmino Pereira de Oliveira , 11"
Leme,Vila Santucci,"Avenida Joaquim Lopes Aguila , 705"
Limeira,Parques Aeroporto,"Avenida Doutor Lauro Corrêa da Silva , 4005"
Limeira,Vila San Marino,"Avenida Comendador Agostinho Prada , 1737"
Matão,Centro,"Rua São Lourenço , 1170"
Piracicaba,Centro,"Rua São Francisco de Assis , 1195"
Piracicaba,Nova América,"Avenida Professor Alberto Vollet Sachs , 650"
Ribeirão Preto,Campos Elíseos,"Rua Silveira Martins , 44"
Ribeirão Preto,Jardim América,"Avenida Nove de Julho , 1910"
Ribeirão Preto,Jardim Marincek,"Rua Javari , 4819"
Ribeirão Preto,Jardim Paulista,"Rua Henrique Dumont , 745"
Ribeirão Preto,Jardim Planalto Verde,"Rua Sergio Achê , 1011"
Ribeirão Preto,Jardim São Luis,"Avenida Portugal , 2509"
Ribeirão Preto,Novo Shopping,"Avenida Presidente Kennedy , 1500"
Ribeirão Preto,Shopping Iguatemi,"Avenida Luiz Eduardo Toledo Prado , 900"
Rio Claro,Consolação,"Rua Quatorze , 96"
Sertãozinho,São João,"Avenida Antônio Paschoal , 912"
Sumaré,Jardim Paulista,"Avenida Rebouças , 3400"
Sumaré,Matão,"Rua São Tito , 150"
Sumaré,Parque das Nações (Nova Veneza),"Rua José Vedovato , 2280"
São Carlos,Res. Silvio Vilari,"Rua Joaquim Evangelista de Tolêdo , 243"
São Carlos,Parque Santa Mônica,"Avenida Francisco Pereira Lopes , 1701"
