data,produto,preco,desconto,loja,endereco,cidade,uf,regiao
2025-07-12,Bacalhau Morhua Congelado em Postas Brasmar 800g,56.9,-20.0,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-07-12,Lasca Salgada de Bacalhau Bacalanor 500g,26.89,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-07-12,Lombo de Bacalhau sem Espinha Swift 1Kg,136.5,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-07-12,Bacalhau Desfiado Congelado Brasmar 450g,42.89,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-07-12,Posta De Bacalhau Dessalgado Riberalves 800 g,79.9,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-07-12,Bacalhau com Natas Bom Porto 400 g,23.89,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-07-12,Posta de Bacalhau Dessalgado Swift 800 g,62.89,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-07-12,Bacalhau Desfiado Dessalgado Swift 500 g,40.9,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-07-12,Escondidinho de Bacalhau Bom Porto 400 g,33.79,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-07-12,Bacalhau Porto Imperial Borboleta Aprox 900 g,145.71,-10.0,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
