estado,cidade/UF,loja,lat,long
AL,Maceió/AL,Hiper Maceió JatiúcaMangabeiras,-9.64959,-35.71739
AM,Manaus/AM,Hipermercado Manaus AdrianópolisAdrianopolis,-3.10513,-60.01123
,,Hipermercado Manaus ShoppingChapada,-3.09326,-60.02191
,,Hipermercado Ponta NegraDom Pedro,-3.09195,-60.0498
BA,Itabuna/BA,Big Bompreço ItabunaGoes Calmon,-14.7979,-39.27272
DF,Brasília/DF,Carrefour Bairro Asa Norte IIAsa Norte,-15.77441,-47.88754
,,Carrefour Bairro Bom MotivoLago Sul,-15.84242,-47.87619
,,Hiper Águas ClarasÁguas Claras,-15.83163,-48.03967
,,Hipermercado Brasilia Asa NorteAsa Norte,-15.72217,-47.89789
,,Hipermercado Brasilia SulZona Industrial (Guará),-15.82938,-47.95478
,Taguatinga/DF,Hipermercado Brasilia TaguatingaAguas Claras,-15.82804,-48.04138
ES,Vila Velha/ES,Hipermercado Vila Velha ShoppingDivino Espirito Santo,-20.34885,-40.29805
GO,Anapolis/GO,Hipermercado Goiânia AnápolisCidade Jardim,-16.32138,-48.94862
,Goiania/GO,Hipermercado Goiânia SudoesteVila Bela,-16.70884,-49.29722
,,Hipermercado Goiânia SulJd Goias,-16.70961,-49.23282
MG,Belo Horizonte/MG,Hipermercado BH AméricaSanta Efigênia,-19.91368,-43.92017
,,Hipermercado BH ShoppingBelvedere,-19.9735,-43.94444
,,Hipermercado PampulhaEngenho Nogueira,-19.87385,-43.97805
,Contagem/MG,Hipermercado ContagemRiacho,-19.9548,-44.06368
,Juiz de Fora/MG,Hipermercado Juiz de ForaGraminha,-21.78397,-43.33813
,Uberlandia/MG,Hipermercado UberlândiaSta Monica,-18.91012,-48.25816
MS,Campo Grande/MS,Hipermercado Campo GrandeSanta Fe,-20.45765,-54.58963
PB,Campina Grande/PB,Hiper Campina GrandeS José,-7.22202,-35.88584
,João Pessoa/PB,Hipermercado JP Cidade dos BancáriosJardim Sao Paulo,-7.14594,-34.84909
PE,Jaboatão dos Guararapes/PE,Hiper JaboatãoPiedade,-8.14956,-34.91658
,Petrolina/PE,Hiper Shopping PetrolinaCentro,-9.38299,-40.4901
,Recife/PE,Hiper Avenida RecifeAreias,-8.09688,-34.9286
,,Hiper Shopping TacarunaSanto Amaro,-8.0373,-34.87205
,,Hipermercado Domingos FerreiraBoa Viagem,-8.09017,-34.90133
,,Hipermercado RecifeTorre,-8.03921,-34.90987
PR,Curitiba/PR,Hiper CabralCabral,-25.40208,-49.24868
,,Hiper PortãoPortao,-25.4634,-49.29712
,,Hipermercado ChampagnatMossunguê,-25.43712,-49.31851
,,Hipermercado ParolinRebouças,-25.45489,-49.25878
,Londrina/PR,Hipermercado LondrinaCatuai,-23.34027,-51.18651
,Pinhais/PR,Hipermercado PinhaisVila Maria Antonieta,-25.43175,-49.16498
RJ,Belford Roxo/RJ,Hipermercado Belford RoxoCentro,-22.77242,-43.39604
,Campos dos Goytacazes/RJ,Hiper Campos de GoytacazesQueimados,-21.76534,-41.34352
,Duque de Caxias/RJ,Hipermercado Duque de Caxias BrigadeiroJardim Vinte e Cinco de Agosto,-22.79203,-43.30081
,,Hipermercado Duque de CaxiasJardim Gramacho,-22.76279,-43.28813
,Macaé/RJ,Hiper MacaéGranja dos Cavaleiros,-22.3843,-41.80788
,Rio de Janeiro/RJ,Hipermercado BarraBarra da Tijuca,-22.98773,-43.36071
,,Hipermercado Campo GrandeCampo Grande,-20.44122,-54.58326
,,Hipermercado Norte ShoppingCachambi,-22.88484,-43.28464
,,Hipermercado SulacapJd Sulacap,-22.88461,-43.40483
,São Gonçalo/RJ,Hipermercado AlcântaraAlcantara,-22.81845,-43.0076
,,Hipermercado ManilhaNeves,-22.85492,-43.10051
RN,Mossoró/RN,BIG MossoróDoze Anos,-5.1844,-37.35065
,Natal/RN,Hipermercado Natal Zona NortePotengi,-5.75829,-35.24792
,,Hipermercado NatalLagoa Nova,-5.82609,-35.21258
RS,Canoas/RS,Hipermercado CanoasMathias Velho 07,-29.90567,-51.18706
,Caxias do Sul/RS,Hipermercado CaxiasCidade Nova,-29.17665,-51.21822
,Gravataí/RS,Hipermercado GravataíCohab C - Centro,-29.9361,-50.99679
,Novo Hamburgo/RS,Carrefour Novo HamburgoCentro,-29.68246,-51.13222
,Pelotas/RS,BIG PelotasAreal,-31.76344,-52.32847
,Porto Alegre/RS,Big CristalCristal,-30.08171,-51.24535
,,Hipermercado PartenonPartenon,-30.05709,-51.16583
,,Hipermercado Passos D'AreiaPasso D'Areia,-30.01094,-51.17132
,Santa Maria/RS,Carrefour Nossa Sra de LourdesN S De Lourdes,-29.69715,-53.79743
,,Hipermercado Santa MariaCentro,-29.67947,-53.80657
,Viamão/RS,BIG ViamãoCecília,-30.07905,-51.10104
SC,Balneário Camboriú/SC,Hiper Balneário CamboriuCentro,-27.00295,-48.62218
,Florianópolis/SC,Hiper Florianópolis ShoppingSanta Monica,-27.58926,-48.51513
SP,Barueri/SP,Hiper Barueri TamboréTamboré,-23.50283,-46.83558
,,Hipermercado TamboréCentro Empresarial Tamboré,-23.50315,-46.83511
,Campinas/SP,Carrefour Bairro Campinas CambuiCambui,-22.89385,-47.0582
,,Hipermercado Campinas Dom PedroJd Nilopolis,-22.84634,-47.02568
,,Hipermercado Campinas IguatemiVila Brandina,-22.89096,-47.02308
,,Hipermercado Campinas Shopping OutletJardim do Lago,-22.93184,-47.07917
,,Hipermercado Campinas ValinhosJardim Von Zuben,-22.95214,-47.01448
,,Hipermercado Shopping Dom PedroJardim Santa Genebra,-22.84984,-47.06217
,Caçapava/SP,Carrefour Bairro CaçapavaCentro,-23.10352,-45.70926
,Diadema/SP,Hipermercado DiademaCentro,-23.69075,-46.62349
,Guarujá/SP,Hipermercado GuarujáJd Belmar,-23.98031,-46.23148
,Guarulhos/SP,Hipermercado Guarulhos DutraMacedo,-23.46433,-46.52079
,,Hipermercado GuarulhosVila Rio de Janeiro,-23.43934,-46.54139
