data,produto,preco,desconto,loja,endereco,cidade,uf,regiao
2025-06-18,Cachaça Ypióca Empalhada Ouro 965ml,57.49,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça 51 965ml,14.9,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça 51 Seleção Garrafa 965 ml,20.39,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça Ypióca Conta Gota Ouro 965ml,31.9,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça 51 Ouro 965 ml,37.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça Cristalina Sagatiba 700ml,29.89,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça 51 350 ml,5.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça Ypióca 150 Anos 700ml,99.9,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça Salinas Tradicional 700 ml,69.59,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça Sagatiba Cristalina 700ml + 3 Schweppes Citrus Lata 350 ml,49.86,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça Matuta Abelha Rainha 1 L,42.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça Amarelinha Pitu 965ml,22.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça Volúpia Branca Diamante 1 Ano 700ml,139.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça Pitu 473ml,5.69,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça Matuta Balsamo 300 Ml,20.49,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste
2025-06-18,Cachaça Ypióca Empalhada Ouro 965ml,35.9,-42.0,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça 51 965ml,17.89,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça 51 Seleção Garrafa 965 ml,24.89,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça Ypióca Conta Gota Ouro 965ml,29.9,-6.0,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça Salinas Carvalho 700 ml,144.97,-15.0,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça Salinas Tradicional 700 ml,63.49,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça Lua Nova 700 ml,44.99,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça Artesanal Dedé Melaço 500ml,74.98,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça do Dede Carvalho 700 ml,104.9,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Bebida Mista de Cachaça com Jambu Jambucana 750ml,93.49,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Bebida Mista com Cachaça 51 Limão 275 ml,8.49,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Bebida Mista de Cachaça com Jambu Jambucana 275ml,37.99,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça Ypióca Empalhada Ouro 965ml,35.9,-42.0,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça 51 965ml,17.89,,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça 51 Seleção Garrafa 965 ml,24.89,,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça Ypióca Conta Gota Ouro 965ml,29.9,-6.0,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça 51 Ouro 965 ml,19.98,,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça Cristalina Sagatiba 700ml,29.89,,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça 51 350 ml,8.49,,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
2025-06-18,Cachaça Salinas Carvalho 700 ml,144.97,-15.0,Hiper Manaus Ponta Negra,"Hiper Manaus Ponta Negra
Avenida Pedro Teixeira, 52
Dom Pedro, Manaus - AM",Manaus/AM,AM,Norte
