data,produto,preco,desconto,loja,endereco,cidade,uf,regiao
2025-06-21,Fralda Infantil Carrefour My Baby G 96 Unidades,125.79,,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Pampers Pants XXG 60 unidades,169.99,,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Pants Carrefour My Baby M 20 Unidades,23.99,-21.0,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda para Água Pampers P-M Splashers Baby Shark 12 Unidades,42.99,,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Descartável Infantil Roupinha Huggies Natural Care XXG 14 a 25Kg 20 Unidades,43.99,-2.0,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Descartável Infantil Roupinha Huggies Natural Care XG 12 a 15Kg 22 Unidades,43.99,-2.0,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Infantil Carrefour My Baby XG 84 Unidades,124.9,,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Infantil Carrefour My Baby XXG 80 Unidades,125.79,,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fraldas Pampers Confort Sec XG 58 Unidades,114.9,-12.0,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Pants Carrefour My Baby XG 15 Unidades,23.99,-21.0,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Descartável Carrefour Tamanho G My Baby 26 Unidades,39.69,,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Pants Carrefour My Baby G 17 Unidades,23.99,-21.0,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Pampers XXG Pants Ajuste Total 60 unidades,137.49,,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Descartável Pampers Confort Sec M 70 Unidades,99.49,,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Pampers Supersequinha XXG 66 Unidades,85.89,,Hiper Vila Velha,"Hiper Vila Velha
Avenida Luciano das Neves
Divino Espírito Santo, Vila Velha - ES",Vila Velha/ES,ES,Sudeste
2025-06-21,Fralda Infantil Carrefour My Baby G 96 Unidades,119.9,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Huggies Roupinha Supreme Care XG com 24 Unidades,38.99,-58.0,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Pants Carrefour My Baby M 20 Unidades,17.98,-31.0,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda para Água Pampers P-M Splashers Baby Shark 12 Unidades,32.89,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Descartável Infantil Roupinha Huggies Natural Care XXG 14 a 25Kg 20 Unidades,43.99,-2.0,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Descartável Infantil Roupinha Huggies Natural Care XG 12 a 15Kg 22 Unidades,44.99,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Descartável Pampers Supersequinha G 80 Unidades,121.99,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Descartável Pampers Supersequinha M 90 Unidades,121.99,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Descartável Pampers Confort Sec G 60 Unidades,119.9,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Infantil Carrefour My Baby XG 84 Unidades,119.9,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Infantil Carrefour My Baby XXG 80 Unidades,119.9,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Descartável Pampers Confort Sec P 72 Unidades,124.9,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Calça Pampers XG Pants Ajuste Total Hiper - 66 Unidades,169.9,,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Pants Carrefour My Baby XG 15 Unidades,17.98,-31.0,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Descartável Carrefour Tamanho G My Baby 26 Unidades,27.99,-41.0,Hiper Brasília Sul,"Hiper Brasília Sul
SCEE / Sul
Guará, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Infantil Carrefour My Baby G 96 Unidades,119.49,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Huggies Roupinha Supreme Care XG com 24 Unidades,38.99,-58.0,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Pants Carrefour My Baby M 20 Unidades,17.98,-31.0,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda para Água Pampers P-M Splashers Baby Shark 12 Unidades,32.89,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Descartável Infantil Roupinha Huggies Natural Care XXG 14 a 25Kg 20 Unidades,44.99,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Descartável Infantil Roupinha Huggies Natural Care XG 12 a 15Kg 22 Unidades,44.99,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda-Calça MamyPoko Jumbo XG - 28 unidades,68.98,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Infantil Carrefour My Baby XG 84 Unidades,119.49,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Infantil Carrefour My Baby XXG 80 Unidades,119.49,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Descartável Pampers Confort Sec P 72 Unidades,124.9,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
2025-06-21,Fralda Calça Pampers XG Pants Ajuste Total Hiper - 66 Unidades,169.9,,Hiper Águas Claras,"Hiper Águas Claras
Rua Copaíba
Águas Claras, Brasília - DF",Brasília/DF,DF,Centro-Oeste
