produto,preco,loja,cidade_estado,data
Kani Congelado Frescatto 200g,"R$ 13,39",Hiper Maceió Jatiúca,"Mangabeiras, Maceió - AL",2025-04-18
Kani Congelado Frescatto 200g,"R$ 12,99",Big Bompreço Itabuna,"Goes Calmon, Itabuna - BA",2025-04-18
Kani Congelado Frescatto 200g,"R$ 12,59",Hipermercado Brasilia Sul,"Zona Industrial (Guará), Brasília - DF",2025-04-18
Kani Congelado Frescatto 200g,"R$ 12,19",Hipermercado Brasilia Taguatinga,"Aguas Claras, Taguatinga - DF",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 13,39",Hipermercado Vila Velha Shopping,"Divino Espirito Santo, Vila Velha - ES",2025-04-18
Kani Congelado Frescatto 200g,"R$ 15,99",Hipermercado Vila Velha Shopping,"Divino Espirito Santo, Vila Velha - ES",2025-04-18
Kani Congelado Frescatto 200g,"R$ 11,39",Hipermercado Goiânia Anápolis,"Cidade Jardim, Anapolis - GO",2025-04-18
Kani Congelado Frescatto 200g,"R$ 11,39",Hipermercado Goiânia Sul,"Jd Goias, Goiania - GO",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 12,99",Hipermercado BH Shopping,"Belvedere, Belo Horizonte - MG",2025-04-18
Kani Congelado Frescatto 200g,"R$ 15,99",Hipermercado BH Shopping,"Belvedere, Belo Horizonte - MG",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 12,99",Hipermercado BH Shopping,"Belvedere, Belo Horizonte - MG",2025-04-18
Kani Congelado Frescatto 200g,"R$ 15,99",Hipermercado BH Shopping,"Belvedere, Belo Horizonte - MG",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 13,39",Hipermercado Contagem,"Riacho, Contagem - MG",2025-04-18
Kani Congelado Frescatto 200g,"R$ 15,99",Hipermercado Contagem,"Riacho, Contagem - MG",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 13,39",Hipermercado Juiz de Fora,"Graminha, Juiz de Fora - MG",2025-04-18
Kani Congelado Frescatto 200g,"R$ 15,99",Hipermercado Juiz de Fora,"Graminha, Juiz de Fora - MG",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 12,99",Hipermercado Uberlândia,"Sta Monica, Uberlandia - MG",2025-04-18
Kani Congelado Frescatto 200g,"R$ 15,99",Hipermercado Uberlândia,"Sta Monica, Uberlandia - MG",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 14,25",Hipermercado Campo Grande,"Santa Fe, Campo Grande - MS",2025-04-18
