data,produto,preco,cidade/UF,UF,regiao,loja,bairro,lat,long,regiao_ordem
2025-04-18,Kani Congelado Frescatto 200g,11.39,Anapolis/GO,GO,Centro-Oeste,Hipermercado Goiânia AnápolisCidade Jardim,Cidade Jardim,-16.32138,-48.94862,Centro-Oeste - Anapolis/GO
2025-04-18,Kani Congelado Frescatto 200g,12.59,Brasília/DF,DF,Centro-Oeste,Hipermercado Brasilia SulZona Industrial (Guará),Zona Industrial (Guará),-15.82938,-47.95478,Centro-Oeste - Brasília/DF
2025-04-18,Kani Congelado Costa Sul 200g,14.25,Campo Grande/MS,MS,Centro-Oeste,Hipermercado Campo GrandeSanta Fe,Santa Fe,-20.45765,-54.58963,Centro-Oeste - Campo Grande/MS
2025-04-18,Kani Congelado Frescatto 200g,12.45,Campo Grande/MS,MS,Centro-Oeste,Hipermercado Campo GrandeSanta Fe,Santa Fe,-20.45765,-54.58963,Centro-Oeste - Campo Grande/MS
2025-04-18,Kani Congelado Frescatto 200g,11.39,Goiania/GO,GO,Centro-Oeste,Hipermercado Goiânia SulJd Goias,Jd Goias,-16.70961,-49.23282,Centro-Oeste - Goiania/GO
2025-04-18,Kani Congelado Frescatto 200g,12.19,Taguatinga/DF,DF,Centro-Oeste,Hipermercado Brasilia TaguatingaAguas Claras,Aguas Claras,-15.82804,-48.04138,Centro-Oeste - Taguatinga/DF
2025-04-18,Kani Congelado Frescatto 200g,12.99,Campina Grande/PB,PB,Nordeste,Hiper Campina GrandeS José,S José,-7.22202,-35.88584,Nordeste - Campina Grande/PB
2025-04-18,Kani Congelado Frescatto 200g,12.99,Itabuna/BA,BA,Nordeste,Big Bompreço ItabunaGoes Calmon,Goes Calmon,-14.7979,-39.27272,Nordeste - Itabuna/BA
2025-04-18,Kani Congelado Frescatto 200g,12.99,Jaboatão dos Guararapes/PE,PE,Nordeste,Hiper JaboatãoPiedade,Piedade,-8.14956,-34.91658,Nordeste - Jaboatão dos Guararapes/PE
2025-04-18,Kani Congelado Frescatto 200g,12.99,João Pessoa/PB,PB,Nordeste,Hipermercado JP Cidade dos BancáriosJardim Sao Paulo,Jardim Sao Paulo,-7.14594,-34.84909,Nordeste - João Pessoa/PB
2025-04-18,Kani Congelado Frescatto 200g,13.39,Maceió/AL,AL,Nordeste,Hiper Maceió JatiúcaMangabeiras,Mangabeiras,-9.64959,-35.71739,Nordeste - Maceió/AL
2025-04-18,Kani Congelado Frescatto 200g,12.99,Mossoró/RN,RN,Nordeste,BIG MossoróDoze Anos,Doze Anos,-5.1844,-37.35065,Nordeste - Mossoró/RN
2025-04-18,Kani Congelado Frescatto 200g,12.99,Natal/RN,RN,Nordeste,Hipermercado NatalLagoa Nova,Lagoa Nova,-5.82609,-35.21258,Nordeste - Natal/RN
2025-04-18,Kani Congelado Frescatto 200g,12.99,Petrolina/PE,PE,Nordeste,Hiper Shopping PetrolinaCentro,Centro,-9.38299,-40.4901,Nordeste - Petrolina/PE
