data,produto,preco,desconto,loja,endereco,cidade,uf,regiao,lat,long
2025-06-17,Salmão em Pedaços Carrefour Classic 500g,75.98,-16.0,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-06-17,Salmão Inteiro Congelado Aprox. 2 kg,149.97,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-06-17,Salmão Inteiro Fresco Aprox. 4Kg,359.96,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-06-17,Salmão Em Medalhão Frescatto 500g com 6 Unidade,144.9,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-06-17,Filé de Salmão Carrefour Classic 500g,93.59,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-06-17,Azeitona Verde Recheada Especial com Salmão Vale Fértil 130g,19.98,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-06-17,Filé de Salmão em Pedaços Komdelli Congelado 125 g,28.49,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-06-17,Filé de Salmão Congelado com Pele Komdelli Pacote 800g,159.9,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-06-17,,62.69,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-06-17,Salmão em Pedaços Carrefour Classic 500g,89.99,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte,"-3,0761","-60,02313"
