data,produto,preco,cidade_estado,bairro,loja
2025-04-20,Tilápia Moída Congelada Netuno 500g,22.69, Maceió - AL,Mangabeiras,Hiper Maceió Jatiúca
2025-04-20,Filé de Tilápia Congelado Carrefour Special Sabor & Qualidade 250g,32.59, Maceió - AL,Mangabeiras,Hiper Maceió Jatiúca
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,74.19, Maceió - AL,Mangabeiras,Hiper Maceió Jatiúca
2025-04-20,Filé de Tilápia Fresco Carrefour 500 g,92.95, Maceió - AL,Mangabeiras,Hiper Maceió Jatiúca
2025-04-20,Filé de Tilápia Congelado Netuno 500 g,42.09, Maceió - AL,Mangabeiras,Hiper Maceió Jatiúca
2025-04-20,Filé de Tilápia Netuno 500g,45.49, Maceió - AL,Mangabeiras,Hiper Maceió Jatiúca
2025-04-20,Tilápia Moída Congelada Netuno 500g,16.69, Itabuna - BA,Goes Calmon,Big Bompreço Itabuna
2025-04-20,Filé de Tilápia sem Espinha sem Pele Congelado Netuno 800g,79.99, Itabuna - BA,Goes Calmon,Big Bompreço Itabuna
2025-04-20,Filé de Tilápia Congelado Carrefour 400g,46.59, Itabuna - BA,Goes Calmon,Big Bompreço Itabuna
2025-04-20,Filé de Tilápia Congelado Netuno 500 g,44.39, Itabuna - BA,Goes Calmon,Big Bompreço Itabuna
2025-04-20,Filé de Tilápia Congelado Swift 800 g,49.9, Brasília - DF,Zona Industrial (Guará),Hipermercado Brasilia Sul
2025-04-20,Filé de Tilápia Empanado Congelado Copacol 400g,38.65, Brasília - DF,Zona Industrial (Guará),Hipermercado Brasilia Sul
2025-04-20,Posta de Tilápia Copacol 800g,30.89, Brasília - DF,Zona Industrial (Guará),Hipermercado Brasilia Sul
2025-04-20,Filé de Tilápia Empanado Congelado Multigrãos Copacol 400g,37.29, Brasília - DF,Zona Industrial (Guará),Hipermercado Brasilia Sul
2025-04-20,Filé de Tilápia Empanado Congelado Coco Copacol 400g,43.39, Brasília - DF,Zona Industrial (Guará),Hipermercado Brasilia Sul
2025-04-20,Filé de Tilápia in Natura Congelado 400g,39.65, Brasília - DF,Zona Industrial (Guará),Hipermercado Brasilia Sul
2025-04-20,Filé de Tilápia Congelado Swift 800 g,47.95, Taguatinga - DF,Aguas Claras,Hipermercado Brasilia Taguatinga
2025-04-20,Filé de Tilápia Congelado Copacol 800g,50.49, Taguatinga - DF,Aguas Claras,Hipermercado Brasilia Taguatinga
2025-04-20,Filé de Tilápia Empanado Congelado Copacol 400g,37.79, Taguatinga - DF,Aguas Claras,Hipermercado Brasilia Taguatinga
2025-04-20,Posta de Tilápia Copacol 800g,30.89, Taguatinga - DF,Aguas Claras,Hipermercado Brasilia Taguatinga
